Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Стус,Богуслав,Андрійович,Чоловіча,2006-08-23,Вчитель,хутір Моспине,"узвіз Тепличний 1-й, буд. 94, Білицьке, 29784",+380 25 079 60 06,zynovii92@example.net
Самойленко,Гаврило,Андрійович,Чоловіча,1979-02-20,Адвокат,місто Стебник,"сквер Манежний, буд. 314, Дружба , 57048",+380 (42) 353-67-21,sviatoslavvlasenko@example.net
Товстоліс,Володимир,Володимирович,Чоловіча,1990-02-22,Епідеміолог,село Волноваха,"парк Посівна, буд. 0, Городенка, 75766",043 031 00 67,dupliiruslan@example.com
Ільєнко,Зиновій,Володимирович,Чоловіча,1945-06-25,Флорист,село Нове Давидково,"набережна Штурвальна, буд. 862 кв. 178, Кремінна, 03323",+380 (18) 025-02-11,lsuprunenko@example.net
Шухевич,Олег,Михайлович,Чоловіча,1979-01-21,Акушер,хутір Устилуг,"сквер Софіївська, буд. 5 кв. 897, Кременчук, 27764",650 84 10,tkachielysei@example.net
Скопенко,Спас,Володимирович,Чоловіча,2008-11-20,Модельєр,село Мена ,"набережна Травневий 3-й, буд. 560 кв. 640, Устилуг, 70982",+380 (27) 821-93-09,bohdannasimashkevych@example.com
Гавриленко,Левко,Андрійович,Чоловіча,2007-09-18,Фермер,місто Сміла,"провулок Тираспольське, буд. 355 кв. 52, Географія Вільнянська, 21978",557-11-67,oviter@example.org
Бабенко,Назар,Олександрович,Чоловіча,2002-07-15,Стропальник,селище Білогірськ,"шосе Юннатів, буд. 4 кв. 95, Лутугине, 91383",002 192 00 47,azar99@example.com
Годунок,Леон,Андрійович,Чоловіча,1991-10-22,Льотчик,місто Тисмениця,"площа Балтський 6-й, буд. 1, Приморськ (Україна), 83848",+380 98 879-86-91,nestorfranchuk@example.org
Якименко,Пилип,Володимирович,Чоловіча,2002-04-25,Паблік рилейшнз,село Ясинувата,"шосе Марата, буд. 24 кв. 3, Нова Одеса, 57969",+380 31 657-57-41,ydankiv@example.com
Даценко,Альберт,Петрович,Чоловіча,1982-09-08,Ботанік,селище Кам'янка-Бузька,"площа Володі Дубініна, буд. 313, Шепетівка, 89791",095 242 98 60,svitlanavdovychenko@example.net
Гузій,Богуслав,Павлович,Чоловіча,1993-09-26,Ріелтор,хутір Городенка,"парк Амурський 4-й, буд. 928 кв. 5, Новогродівка, 95569",+380 05 584-32-37,nataliiatykha@example.com
Петлюра,Микита,Юрійович,Чоловіча,1967-04-17,Пілот,місто Тиврів,"вулиця Аеропортівський 4-й, буд. 13, Перевальськ, 35548",+380 85 442 29 38,lavramenko@example.org
Демʼянюк,Орхип,Павлович,Чоловіча,1968-07-18,Реставратор,село Нове Давидково,"парк Сєченова, буд. 217, Новий Розділ, 21861",+380 64 439 95 11,trokhym15@example.com
Прокопович,Хома,Іванович,Чоловіча,1954-01-21,Кушнір,село Помічна,"проспект Артилерійський 2-й, буд. 8 кв. 796, Збараж, 06841",588-39-46,olha37@example.net
Шведченко,Ілля,Олександрович,Чоловіча,1989-03-23,Ветеринар,село Святогірськ,"провулок Парковий, буд. 742 кв. 6, Зміїв, 39011",+380 59 649 63 87,fedirpushkar@example.org
Бабій,Євген,Сергійович,Чоловіча,1953-01-23,Провізор,місто Добропілля,"сквер Бехтерєва, буд. 0, Балта, 60197",058 036 80 99,oleh29@example.org
Туркало,Кирило,Іванович,Чоловіча,1974-05-29,Фізик,хутір Золотоноша,"шосе Матеріальний 1-й, буд. 380, Ковель, 41077",060 688-72-00,artem71@example.org
Шаповал,Левко,Михайлович,Чоловіча,1990-01-02,Кушнір,місто Вільнянськ,"проспект Спартаківський, буд. 327, Мирноград, 83195",+380 81 981 76 28,ftsarenko@example.org
Оберемко,Ярема,Іванович,Чоловіча,1960-11-05,Кушнір,село Ізяслав,"проспект Лізи Чайкіної, буд. 9 кв. 77, Калуш, 87027",015 289 56 44,valentynapelekh@example.net
Шелест,Ігнат,Олександрович,Чоловіча,1944-09-30,Шериф,хутір Вижниця,"узвіз Пересипська 7-ма, буд. 056, Вишгород, 94834",424-32-71,tovstukhaielysaveta@example.com
Романчук,Марко,Сергійович,Чоловіча,1957-06-21,Кіноактор,місто Борщів,"провулок Академіка Вільямса, буд. 132 кв. 57, Тячів, 31273",+380 16 420-75-01,kiatsenko@example.net
Байдак,Василь,Павлович,Чоловіча,1983-10-23,Кухар,хутір Сніжне,"сквер Юннатів 2-й, буд. 50, Тараща, 94219",368-47-89,aartiushenko@example.org
Гунько,Семен,Петрович,Чоловіча,1995-04-26,Державний службовець,село Южноукраїнськ,"провулок Заводська 5-та, буд. 725, Калинівка , 17311",+380 (68) 537-30-76,teslenkooleh@example.com
Токар,Онисим,Іванович,Чоловіча,2003-04-17,Хореограф,село Біляївка,"вулиця Наявний 2-й, буд. 4, Бахчисарай, 60184",907 96 89,vadymdubas@example.com
Твердохліб,Аарон,Павлович,Чоловіча,1974-07-23,Громадський діяч,хутір Вишгород,"площа Зелена, буд. 7 кв. 0, Донецьк, 01325",+380 50 650-20-20,ievtushenkozlatoslava@example.net
Івасюк,Станіслав,Анатолійович,Чоловіча,1982-12-27,Бізнесмен,селище Заставна,"площа Світлий, буд. 16 кв. 21, Миргород, 58637",+380 76 044-96-22,zhaivorononysym@example.com
Ґереґа,Панас,Анатолійович,Чоловіча,2002-01-27,Каскадер,селище Українськ,"сквер Чубаївський, буд. 96 кв. 00, Хмельницький, 58481",055 486-09-06,davyddemydenko@example.org
Вдовиченко,Станіслав,Іванович,Чоловіча,1996-08-27,Кінорежисер,місто Вугледар,"сквер Геологічна, буд. 15, Южне, 17332",+380 16 287 72 82,priska25@example.net
Забара,Хома,Петрович,Чоловіча,1956-07-15,Водій,місто Шостка,"узвіз Деревообробний 3-й, буд. 0 кв. 2, Коломия, 27865",+380 48 902-34-93,heorhii17@example.net
Гоголь-Яновська,Макар,Іванович,Чоловіча,1948-01-25,Футболіст,селище Бурштин ,"площа Таїрова, буд. 8 кв. 0, Бунге , 86986",073 383-79-90,opanas43@example.net
Дрозденко,Аврелій,Володимирович,Чоловіча,2004-02-15,Сценарист,місто Жмеринка,"проспект Баркасний, буд. 384, Нетішин, 51616",099 232-86-80,zatulaliubov@example.com
Аврамчук,Захар,Сергійович,Чоловіча,1983-11-21,Петрограф,хутір Дубно,"вулиця Висока, буд. 7 кв. 044, Кальміуське, 76868",006 443 94 96,ilchenkoievhen@example.net
Рева,Франц,Петрович,Чоловіча,1940-03-04,Продюсер,хутір Червоносів,"узвіз Лінія 40-ва, буд. 726, Новояворівськ, 11942",+380 06 952 16 38,serhii88@example.com
Фаренюк,Остап,Андрійович,Чоловіча,1941-09-13,Штукатур,місто Севастополь,"набережна Учительський, буд. 4 кв. 54, Українськ, 14629",+380 19 635-36-89,venedyktbabiuk@example.net
Туркало,Дмитро,Анатолійович,Чоловіча,1939-06-17,Інженер,місто Жовті Води,"сквер Лінія 42-га, буд. 0 кв. 359, Добропілля, 29380",006 769-57-61,fivanychuk@example.net
Вакуленко,Станіслав,Павлович,Чоловіча,1958-05-20,Кур'єр,місто Васильків,"парк Маковий, буд. 022 кв. 207, Апостолове, 69255",+380 09 564-26-20,albertartiushenko@example.org
Аверченко,Олесь,Олександрович,Чоловіча,1990-03-17,Акушер,хутір Городня,"вулиця Український 3-й, буд. 83, Хуст, 06342",+380 59 739 53 99,kabanenkoolha@example.com
Швачка,Віталій,Олександрович,Чоловіча,1965-01-22,Бібліограф,селище Гірник ,"узвіз Багрицького, буд. 627, Бобринець, 81095",+380 21 929 54 02,chavryshkevych@example.com
Александренко,Сергій,Михайлович,Чоловіча,1985-04-25,Кінокритик,селище Армянськ,"сквер Моторний 2-й, буд. 396, Ворожба, 86237",465-98-33,zatulasolomon@example.org
Затула,Зорян,Петрович,Чоловіча,1972-05-14,Модельєр,місто Підгайці,"проспект 411-ї батареї, буд. 0 кв. 62, Новий Буг, 55100",+380 06 813 63 05,hlibchubai@example.org
Охримович,Данило,Павлович,Чоловіча,1970-12-06,Астронавт,село Алупка,"вулиця Василя Кандинського 3-й, буд. 03, Молодогвардійськ, 66207",278 21 50,lsliusar@example.net
Абрагамовський,Йосип,Володимирович,Чоловіча,1954-10-16,Фармацевт,місто Зоринськ,"шосе Омська, буд. 8 кв. 87, Родинське, 11069",432-51-69,anzhela93@example.net
Удовиченко,Арсен,Іванович,Чоловіча,1947-08-18,Адвокат,селище Куп'янськ,"провулок Церковна, буд. 9, Хмільник, 02808",899 52 25,chalaiukhym@example.org
Вергун,Єфрем,Анатолійович,Чоловіча,1995-11-28,Пекар,хутір Чернівці,"набережна Казанська, буд. 85 кв. 33, Глиняни, 10358",+380 (58) 696-07-97,zinkevychorysia@example.com
Александренко,Ігор,Іванович,Чоловіча,1992-04-09,Менеджер,місто Жашків,"вулиця Безіменний, буд. 416, Олевськ, 87446",598 72 03,mykhailo79@example.org
Бевз,Назар,Павлович,Чоловіча,1985-02-23,Менеджер,село Костопіль,"шосе Дальницька, буд. 12 кв. 1, Червоноград, 69772",018 364-20-61,rostyslaviarosh@example.org
Товстоліс,Теодор,Олександрович,Чоловіча,1974-09-06,Живописець,хутір Саки ,"проспект Дельфін, буд. 905 кв. 23, Тлумач, 18860",128 01 50,dashenkoliubov@example.com
Стельмах,Руслан,Павлович,Чоловіча,1978-08-30,Бібліотекар,хутір Зимогір'я,"шосе Лодочний, буд. 196 кв. 25, Дрогобич, 17327",+380 40 044-89-94,zinchenkoiaryna@example.net
Деркач,Павло,Петрович,Чоловіча,1987-04-18,Інженер,село Корець,"проспект Ракетна, буд. 72, Верхівцеве, 77612",095 125 45 40,iemelianenkomakar@example.org
Башполченко,Степан,Павлович,Чоловіча,1975-02-02,Фрілансер,село Марганець ,"набережна Красний, буд. 876, Бершадь, 89498",+380 26 998 53 31,artemtereshchenko@example.com
Гавришкевич,Венедикт,Анатолійович,Чоловіча,1955-02-11,Золотар,село Барвінкове,"площа Соляний 4-й, буд. 4 кв. 06, Енергодар, 06680",022 186 14 08,okseniia21@example.org
Оніщук,Микита,Володимирович,Чоловіча,1982-11-03,Менеджер,місто Галич,"проспект Професора Каришковського, буд. 4, Чорнобиль, 68281",000 774 92 91,alinahrechanyk@example.net
Бевзенко,Владислав,Іванович,Чоловіча,1966-07-25,Детектив,село Бібрка,"площа Лінія 38-ма, буд. 537 кв. 23, Соснівка , 82766",289-28-01,havryshkevychleon@example.com
Атрощенко,Ярема,Іванович,Чоловіча,1953-11-05,Нотаріус,хутір Соледар,"провулок Достоєвського, буд. 3, Мар'їнка, 31162",021 409 03 29,chaikanataliia@example.net
Конопленко,Леонтій,Михайлович,Чоловіча,1978-03-20,Єгер,селище Коростень,"проспект Скляний 3-й, буд. 281 кв. 89, Чортків, 76988",002 774-36-72,dmytroorlyk@example.net
Сімашкевич,Леон,Павлович,Чоловіча,1986-09-22,Фотограф,хутір Зіньків,"набережна Виставочна, буд. 38 кв. 94, Бахмач, 27173",936-05-96,serhiihavrylets@example.net
Худяк,Веніямин,Павлович,Чоловіча,1960-04-30,Фольклорист,село Бурштин ,"сквер Десята, буд. 1 кв. 3, Подільськ, 44602",+380 (99) 502-01-66,khrystenkoanastasiia@example.org
Кащенко,Ростислав,Михайлович,Чоловіча,1973-04-23,Епідеміолог,село Ромни,"набережна Васнецова, буд. 67 кв. 9, Городня, 33631",039 338-86-24,hlibdanylchuk@example.com
Єрмоленко,Франц,Сергійович,Чоловіча,2005-09-19,Нотаріус,хутір Краматорськ,"сквер Бузкова, буд. 2 кв. 75, Мостиська, 06691",+380 33 603 33 53,sviatoslava68@example.com
Оберемко,Костянтин,Петрович,Чоловіча,1961-05-26,Намотувальник,місто Сторожинець,"вулиця Зелена, буд. 543 кв. 830, Берестечко, 24170",+380 30 235-69-47,klavdiia97@example.com
Шинкаренко,Данило,Іванович,Чоловіча,2002-08-02,Бізнесмен,місто Сорокине,"провулок Леха Качинського, буд. 82, Гадяч, 13249",264 22 49,wchornovil@example.net
Заєць,Артем,Юрійович,Чоловіча,1983-02-25,Парфюмер,хутір Носівка,"сквер Щукіна, буд. 138, Вовчанськ, 20282",713-94-91,orestzatovkaniuk@example.org
Дурдинець,Пармен,Сергійович,Чоловіча,2003-08-25,Режисер,місто Новий Калинів,"узвіз Північна, буд. 519, Щолкіне, 15419",058 554-40-64,ybaida@example.com
Яремчук,Костянтин,Анатолійович,Чоловіча,1942-07-29,Літературознавець,село Белз,"площа Чумацька, буд. 74, Нікополь, 82633",090 716-44-15,hlib60@example.org
Ємець,Алевтин,Михайлович,Чоловіча,1987-03-17,Гірничий інженер,хутір Городок,"сквер Ананьївська, буд. 58 кв. 8, Пологи , 80251",+380 42 601-58-51,stepan19@example.org
Рябченко,Ілля,Іванович,Чоловіча,2003-12-05,Астронавт,хутір Іршава,"набережна Косвена, буд. 7 кв. 84, Кам'янське, 62093",092 240 88 38,wiurchyshyn@example.com
Тарасенко,Василь,Олександрович,Чоловіча,1997-06-09,Ветеринар,село Буча,"проспект Садова 1-ша, буд. 82, Ялта, 08827",430-35-07,zakusylopylyp@example.com
Деркач,Ілля,Іванович,Чоловіча,1986-11-10,Швачка,селище Дружба ,"узвіз Лиманчик 2-й Лінія 1-ша, буд. 97, Довжанськ, 92848",+380 24 559-62-22,panashavrylets@example.org
Затула,Леонтій,Іванович,Чоловіча,1994-03-01,Філолог,хутір Кам'янець-Подільський,"провулок Сільськогосподарський, буд. 5, Зеленодольськ, 07531",+380 28 990-18-86,abramchukalevtyn@example.com
Кащенко,Тарас,Юрійович,Чоловіча,1940-05-10,М'ясник,хутір Світловодськ,"парк Велика Арнаутська, буд. 15 кв. 58, Чернігів, 60080",+380 (19) 487-27-11,zinchenkohordii@example.org
Остапчук,Стефан,Іванович,Чоловіча,1985-11-05,Музичний редактор,селище Ужгород,"набережна Овідіопольська дуга, буд. 0 кв. 1, Ужгород, 74887",+380 (47) 734-80-13,venedykt31@example.net
Жадан,Владислав,Сергійович,Чоловіча,1958-07-23,Кухар,місто Бердичів,"площа Осипова, буд. 674 кв. 3, Херсон, 20150",084 938 40 61,qfilipenko@example.com
Ємець,Вадим,Анатолійович,Чоловіча,1959-07-22,Палеонтолог,селище Приморськ (Україна),"вулиця Леонова, буд. 52 кв. 6, Снігурівка, 06932",897-23-87,ievdokymenkoiaryna@example.net
Михайличенко,Пантелеймон,Андрійович,Чоловіча,1989-04-07,Публіцист,місто Новий Розділ,"узвіз Таїрова, буд. 5, Вільнянськ, 07850",623 06 19,valerii20@example.net
Свириденко,Юстим,Павлович,Чоловіча,1988-03-15,Складальник,селище Старокостянтинів,"вулиця Остапа Вишні, буд. 66 кв. 07, Березівка, 46492",034 839-22-59,korolenkorostyslav@example.org
Даньків,Феофан,Сергійович,Чоловіча,1972-10-17,Нотаріус,місто Деражня,"вулиця Воронезька, буд. 040 кв. 023, Ялта, 35778",+380 76 597 29 31,cbandurka@example.org
Комар,Ілля,Петрович,Чоловіча,1945-05-23,Дантист,місто Кипуче,"площа Кипарисний 3-й, буд. 2 кв. 180, Прилуки, 68260",+380 78 947 78 16,rostyslav24@example.net
Їжакевич,Леопольд,Анатолійович,Чоловіча,1939-08-13,Етнограф,село Заводське,"площа Новоукраїнський, буд. 8 кв. 739, Василівка , 24231",645-68-48,nazar53@example.net
Акуленко,Юстим,Павлович,Чоловіча,1980-08-20,Адвокат,село Верхньодніпровськ,"провулок Чапаєва, буд. 046, Снятин, 79299",+380 21 294-80-06,gdemydenko@example.org
Полтавець,Пилип,Павлович,Чоловіча,1991-05-21,Штукатур,хутір Могилів-Подільський,"вулиця Черняховського, буд. 7 кв. 71, Городня, 14437",230 18 63,orestnesterenko@example.com
Баштан,Сергій,Олександрович,Чоловіча,1968-08-20,Підприємець,село Білогірськ,"набережна Степний 2-й, буд. 7 кв. 08, Самбір, 69563",018 551 34 67,iakivchupryna@example.com
Ященко,Владислав,Павлович,Чоловіча,1972-09-24,Правник,село Дергачі,"площа 7-ма Суворовська, буд. 1, Інкерман, 70599",+380 55 826-14-07,qgalagan@example.com
Асаула,Артем,Сергійович,Чоловіча,1992-03-13,Клоун,село Хотин,"шосе Каховський, буд. 571 кв. 900, Судова Вишня, 74017",+380 97 252-30-62,valentyn00@example.net
Хоменко,Марко,Олександрович,Чоловіча,1971-06-27,Продюсер,хутір Козятин,"шосе Лінія 48-ма, буд. 3, Жидачів, 92904",992 35 44,lzakusylo@example.com
Харченко,Миколай,Володимирович,Чоловіча,1946-02-14,Нотаріус,хутір Старий Самбір,"сквер Пересипська 5-та, буд. 47 кв. 926, Бурштин , 87866",+380 63 714-32-21,amaliia21@example.net
Тесля,Тимофій,Володимирович,Чоловіча,1962-10-09,Промисловець,місто Дніпрорудне,"узвіз Ширяївський, буд. 4 кв. 97, Новомиргород, 55137",336 76 44,ostapmalyk@example.net
Дахно,Венедикт,Олександрович,Чоловіча,1978-04-12,Єгер,місто Таврійськ,"шосе Савицький, буд. 4 кв. 12, Ворожба, 64654",+380 84 744-00-24,amaliia66@example.net
Дзиндра,Аврелій,Сергійович,Чоловіча,1982-04-24,Електромонтер,хутір Світлодарськ,"шосе Шампанський, буд. 1, Сторожинець, 92290",+380 59 885-15-80,panasbaranets@example.net
Ющенко,Соломон,Анатолійович,Чоловіча,2008-05-07,Електромонтажник,хутір Гребінка,"площа Черепанових 2-й, буд. 244, Краматорськ, 69609",043 250 78 78,viacheslav72@example.net
Рябошапка,Леопольд,Олександрович,Чоловіча,1943-11-02,Епідеміолог,село Трускавець,"набережна Вокзальна, буд. 4 кв. 468, Любомль, 32696",+380 64 386 70 43,boleslavisaienko@example.net
Орлик,Зиновій,Олександрович,Чоловіча,1964-11-16,Модель,село Хмельницький,"провулок Довга, буд. 04, Фастів, 94694",+380 (89) 666-92-29,riabchenkoiefrem@example.com
Данилюк,Віталій,Володимирович,Чоловіча,1974-12-26,Астрофізик,місто Лутугине,"набережна 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 98, Остер , 54672",038 761-91-65,medvedenkoviacheslav@example.net
Якименко,Віктор,Іванович,Чоловіча,1950-08-27,Астронавт,село Красилів,"узвіз Деревообробна, буд. 0 кв. 5, Луцьк, 93387",+380 (04) 734-16-82,riabovilzakhar@example.com
Павличенко,Лесь,Олександрович,Чоловіча,1947-10-31,Мікробіолог,хутір Кам'янець-Подільський,"проспект Колонічна, буд. 470, Горішні Плавні, 06025",015 35 54,xnikoliuk@example.org
Александренко,Данило,Олександрович,Чоловіча,1981-05-28,Науковець,місто Ізяслав,"провулок Олександра Невського, буд. 5 кв. 78, Рахів, 58759",+380 56 051 51 94,iosyptaran@example.org
Артюшенко,Азар,Андрійович,Чоловіча,1944-04-11,Провізор,місто Горішні Плавні,"набережна Чумацька, буд. 986 кв. 1, Красноград, 32485",+380 13 163 99 92,ievhenbazylevych@example.com
Ященко,Соломон,Анатолійович,Чоловіча,1987-08-17,Паралегал,місто Долина ,"проспект Степана Олійника узвіз, буд. 766, Копичинці, 98960",+380 (30) 728-65-66,mykyta61@example.net
Орлик,Герман,Петрович,Чоловіча,1957-09-27,Фольклорист,хутір Липовець,"вулиця Марії Демченко 2-й, буд. 2, Новомосковськ, 24727",677-93-59,semenchenkopriska@example.com
Сіробаба,Опанас,Володимирович,Чоловіча,1976-12-22,Археолог,хутір Олешки,"парк Тимірязєва, буд. 518, Первомайськ, 36048",081 791 96 06,mykhailo25@example.org
Хмара,Сергій,Петрович,Чоловіча,1979-08-29,Кінолог,селище Жовті Води,"сквер Амурський 4-й, буд. 85 кв. 95, Радомишль, 67434",071 810 87 80,jkhmara@example.org
Теличенко,Костянтин,Анатолійович,Чоловіча,1950-10-01,Випробувач,місто Тячів,"вулиця Пантелеймонівська, буд. 8 кв. 47, Люботин, 55556",+380 72 732 79 93,rchaban@example.net
Аверченко,Леон,Павлович,Чоловіча,1979-08-20,Живописець,село Саки ,"вулиця Новоселів, буд. 0, Любомль, 26726",+380 99 832 89 90,viktoriiaparasiuk@example.net
Гузій,Лукʼян,Володимирович,Чоловіча,1991-01-09,Філолог,хутір Кам'янка-Бузька,"площа Партизанської Слави, буд. 810 кв. 011, Марганець , 44495",569 84 84,baranykvasyl@example.net
Михалюк,Гаврило,Павлович,Чоловіча,2005-05-01,Єгер,хутір Радехів,"узвіз Садовий, буд. 41, Рудки, 81350",520-80-14,wnosenko@example.com
Абрагамовська,Богдан,Михайлович,Чоловіча,1952-09-29,Астроном,місто Борислав,"вулиця Адміральський, буд. 5, Баранівка, 94937",+380 30 390-77-72,okseniiapushkar@example.net
Москаль,Кирило,Анатолійович,Чоловіча,2003-08-05,Біолог,хутір Луцьк,"вулиця Гвардійська, буд. 391 кв. 183, Сарни, 69828",079 008-41-57,romanzhalilo@example.org
